date,rank,source,target,attention
2019-04-08,1,Asset_2,Asset_19,0.031313
2019-04-08,2,Asset_9,Asset_19,0.031313
2019-04-08,3,Asset_5,Asset_19,0.031313
2019-04-08,4,Asset_29,Asset_19,0.031313
2019-04-08,5,Asset_31,Asset_19,0.031313
2019-04-09,1,Asset_0,Asset_25,0.03129
2019-04-09,2,Asset_26,Asset_25,0.03129
2019-04-09,3,Asset_23,Asset_25,0.03129
2019-04-09,4,Asset_5,Asset_25,0.03129
2019-04-09,5,Asset_6,Asset_25,0.03129
2019-04-10,1,Asset_21,Asset_25,0.031285
2019-04-10,2,Asset_29,Asset_25,0.031285
2019-04-10,3,Asset_14,Asset_25,0.031285
2019-04-10,4,Asset_20,Asset_25,0.031285
2019-04-10,5,Asset_3,Asset_25,0.031285
2019-04-11,1,Asset_21,Asset_29,0.031351
2019-04-11,2,Asset_19,Asset_29,0.031351
2019-04-11,3,Asset_18,Asset_29,0.031351
2019-04-11,4,Asset_24,Asset_29,0.031351
2019-04-11,5,Asset_26,Asset_29,0.031351
2019-04-12,1,Asset_20,Asset_1,0.031346
2019-04-12,2,Asset_23,Asset_1,0.031346
2019-04-12,3,Asset_3,Asset_1,0.031346
2019-04-12,4,Asset_5,Asset_1,0.031346
2019-04-12,5,Asset_19,Asset_1,0.031346
2019-04-15,1,Asset_0,Asset_1,0.031294
2019-04-15,2,Asset_6,Asset_1,0.031294
2019-04-15,3,Asset_24,Asset_1,0.031294
2019-04-15,4,Asset_30,Asset_1,0.031294
2019-04-15,5,Asset_4,Asset_1,0.031294
2019-04-16,1,Asset_27,Asset_11,0.031284
2019-04-16,2,Asset_4,Asset_11,0.031284
2019-04-16,3,Asset_6,Asset_11,0.031284
2019-04-16,4,Asset_13,Asset_11,0.031284
2019-04-16,5,Asset_18,Asset_11,0.031284
2019-04-17,1,Asset_1,Asset_20,0.031388
2019-04-17,2,Asset_2,Asset_20,0.031388
2019-04-17,3,Asset_4,Asset_20,0.031388
2019-04-17,4,Asset_29,Asset_20,0.031388
2019-04-17,5,Asset_12,Asset_20,0.031388
2019-04-18,1,Asset_6,Asset_25,0.031534
2019-04-18,2,Asset_8,Asset_25,0.031534
2019-04-18,3,Asset_14,Asset_25,0.031534
2019-04-18,4,Asset_15,Asset_25,0.031534
2019-04-18,5,Asset_5,Asset_25,0.031534
2019-04-22,1,Asset_6,Asset_25,0.031326
2019-04-22,2,Asset_0,Asset_25,0.031326
2019-04-22,3,Asset_4,Asset_25,0.031326
2019-04-22,4,Asset_18,Asset_25,0.031326
2019-04-22,5,Asset_3,Asset_25,0.031326
2019-04-23,1,Asset_7,Asset_25,0.031441
2019-04-23,2,Asset_18,Asset_25,0.031441
2019-04-23,3,Asset_4,Asset_25,0.031441
2019-04-23,4,Asset_14,Asset_25,0.031441
2019-04-23,5,Asset_15,Asset_25,0.031441
2019-04-24,1,Asset_6,Asset_25,0.031406
2019-04-24,2,Asset_28,Asset_25,0.031406
2019-04-24,3,Asset_5,Asset_25,0.031406
2019-04-24,4,Asset_2,Asset_25,0.031406
